"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.950278,
"AUS","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.951462,
"AUT","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",4.502062,
"AUT","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.378695,
"BEL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",5.264083,
"BEL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",5.240486,
"CAN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",4.507942,
"CAN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.441295,
"CZE","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.118059,
"CZE","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.594657,
"DNK","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",4.771619,
"DNK","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.726211,
"FIN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",5.022893,
"FIN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.976242,
"FRA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",4.513451,
"FRA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.491224,
"DEU","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.611617,
"DEU","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.671256,
"GRC","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.180314,
"GRC","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.29335,
"HUN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.314119,
"HUN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.26645,
"ISL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",5.455425,
"ISL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",5.468571,
"IRL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",2.8177,
"IRL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",2.757662,
"ITA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.324494,
"ITA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.485715,
"JPN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",2.863806,
"JPN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",2.825576,
"KOR","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.625024,
"KOR","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.750807,
